20241012	15:51:21	c22c1c73-7d57-4de2-b7c9-67b1577a44d3	/	GET
20241012	15:51:21	14d2e7f8-428f-4cb3-a9e9-004454952ec7	/css/style.css	GET
20241012	15:51:21	d545335c-9cc9-4e99-be4e-ab8810a793d3	/img/baofu.png	GET
20241012	15:51:58	dfb03e2e-d864-44c6-8f90-bc8a0653dec7	/	GET
20241012	15:54:10	9c258b05-aefb-45af-a94a-aae43d17145c	/	GET
20241012	15:58:07	547ae184-df4e-4deb-a35e-2e851cebd007	/	GET
20241012	15:58:25	058983a6-0cdb-4ffe-a0c7-2bcd13cfeabc	/	GET
20241012	15:58:40	a153bacb-c6f1-43e5-89f2-d40aebf2e93d	/	GET
20241012	20:53:43	3c5a3110-9046-4550-ab5f-adac0cd32b44	OPTIONS	https://www.google.com.au	/
20241012	20:53:43	e64cf2b6-1b6c-46fe-bda0-2195472be036	GET	https://www.google.com.au	/
20241012	20:58:32	12e6d3af-4744-46d4-98de-61230f7c8a64	OPTIONS	https://www.google.com.au	/
20241012	20:58:32	4923d5da-cb46-41d7-b835-c40e83fd8cc7	GET	https://www.google.com.au	/
20241013	10:57:14	ebfb57f3-c283-4e94-992a-b0f06e47d976	OPTIONS	https://www.google.com.au	/
20241013	10:57:14	92a3e449-b773-49cd-8ef8-b2127298cd65	GET	https://www.google.com.au	/
20241013	10:57:26	5e221463-8614-4fd2-8c01-5d7112d77bf0	OPTIONS	https://www.google.com.au	/
20241013	10:57:27	fba1521e-7d6f-4d5f-9002-c78bc66a7b84	GET	https://www.google.com.au	/
20241013	10:57:31	d64163cc-021e-44b8-be18-4eb6ad8cb7b3	OPTIONS	https://www.google.com.au	/
20241013	10:57:31	4d737447-f639-47f9-a973-57d79eb68d59	GET	https://www.google.com.au	/
20241013	10:57:40	8e7f9add-659b-4fb0-b103-a5bc7f051bd8	OPTIONS	https://www.google.com.au	/
20241013	10:57:40	e51ab50f-9bcd-4a69-a5f9-f8e3c8874deb	GET	https://www.google.com.au	/
20241013	10:57:48	a6267ddd-49b9-4b7e-b9b9-aa475b42e3c2	OPTIONS	https://www.google.com.au	/
20241013	10:57:48	f4a4bcf0-e15a-4ff3-980f-7fd90d8765c9	GET	https://www.google.com.au	/
20241013	11:06:56	ccd3e445-a9cc-4210-9da8-9f21e87c6df2	OPTIONS	https://www.google.com	/
20241013	11:06:56	523d10c7-46de-42c2-b337-a7a7ed264aca	GET	https://www.google.com	/
20241013	11:07:01	4699f0ba-2275-430d-9db4-7e7d9cc39c6f	OPTIONS	https://www.google.com.au	/
20241013	11:07:01	a840e7e4-be4a-4748-ac3e-6a31f0035bb5	GET	https://www.google.com.au	/
20241013	11:07:08	97eac865-8bcf-47f7-884a-1fd51857893c	OPTIONS	https://www.google.com.au	/
20241013	11:07:08	383b1bf5-c537-4196-998c-7c99bd09e4d3	GET	https://www.google.com.au	/
20241013	11:09:00	f214953a-1490-4256-9fd7-729dfca4f868	OPTIONS	https://www.google.com.au	/
20241013	11:09:01	4a4290d8-a2f1-46aa-9230-17066005cc2c	GET	https://www.google.com.au	/
20241013	11:10:17	f3b8764a-3f2b-466e-b110-9f440369d2f6	OPTIONS	https://www.google.com.au	/
20241013	11:10:17	73a34986-ab9d-4462-95f0-00f266251ff4	GET	https://www.google.com.au	/
20241013	11:10:21	781b8b2a-ba27-4c89-a410-885baca5aa75	OPTIONS	https://www.google.com	/
20241013	11:10:21	39cb0f66-0add-459e-a917-4cc6f6b27b6b	GET	https://www.google.com	/
20241013	11:10:24	a88c0540-6397-4c04-a633-945ac0e5721d	OPTIONS	https://www.google.com.au	/
20241013	11:10:24	38900c41-9472-49c8-aa39-f03428f135c8	GET	https://www.google.com.au	/
20241013	11:13:06	c1501db1-2d5e-4fea-acc6-3724f6485e5f	GET	undefined	/
20241013	11:13:06	7846993e-72e6-4293-ad85-8e77bca82f12	GET	undefined	/css/style.css
20241013	11:13:06	9f9208a8-66b2-4b09-b18a-ae576a824ba4	GET	undefined	/img/baofu.png
20241013	11:13:08	2d0e9eaf-3ba8-488b-9eea-41a26f1404fa	GET	undefined	/
20241013	11:13:08	4ff62030-6975-481a-8a6c-4cec54490932	GET	undefined	/css/style.css
20241013	11:13:08	d84c045c-aac0-431c-a90f-317ab44489d7	GET	undefined	/img/baofu.png
